season,yr,mnth,hr,weekday,workingday,weathersit,temp,hum,windspeed,cnt
1,0,1,11,6,0,1,0.2,0.55,0.2239,72
4,0,10,18,2,1,1,0.52,0.42,0.1045,518
4,0,12,3,3,1,3,0.46,1.0,0.2239,3
2,0,4,18,0,0,2,0.46,0.31,0.0,172
1,0,12,6,0,0,1,0.2,0.75,0.1045,1
2,1,6,16,3,1,1,0.72,0.3,0.4925,392
1,0,1,15,2,1,2,0.22,0.87,0.1642,35
4,1,10,4,0,0,1,0.42,0.77,0.2836,12
1,1,3,13,2,1,1,0.6,0.78,0.194,284
1,0,2,15,4,1,1,0.22,0.37,0.3284,60
1,0,1,17,5,1,1,0.24,0.75,0.1343,149
3,1,8,4,0,0,2,0.64,0.89,0.194,16
3,0,9,16,2,1,2,0.6,0.83,0.1642,264
1,1,2,13,3,1,2,0.28,0.61,0.1045,126
2,1,4,16,5,1,1,0.52,0.29,0.2537,440
4,0,12,16,6,0,1,0.28,0.45,0.2239,222
2,1,4,19,3,1,1,0.66,0.39,0.2239,494
1,1,3,9,3,1,1,0.3,0.61,0.3284,264
3,1,8,18,6,0,1,0.74,0.37,0.1642,554
1,1,1,4,3,1,1,0.34,0.46,0.5224,1
2,0,5,13,5,1,2,0.52,0.88,0.3881,226
2,0,6,17,0,0,1,0.74,0.51,0.0,390
4,0,11,6,6,0,1,0.24,0.6,0.3284,12
2,0,5,17,2,1,1,0.62,0.65,0.4179,604
3,0,8,5,3,1,1,0.54,0.83,0.0896,27
4,1,10,8,5,1,2,0.54,0.88,0.1343,734
4,1,11,22,1,1,1,0.28,0.56,0.194,115
2,1,6,23,6,0,1,0.68,0.61,0.1642,230
4,1,12,11,6,0,2,0.4,0.87,0.1045,404
3,1,7,7,3,0,1,0.68,0.65,0.0,72
3,0,8,3,3,1,1,0.58,0.68,0.1343,1
4,0,12,8,4,1,2,0.34,0.66,0.2239,457
3,0,8,0,6,0,1,0.68,0.51,0.1045,84
4,1,10,21,4,1,2,0.52,0.88,0.1343,271
1,0,3,12,0,0,1,0.36,0.4,0.1045,228
3,0,8,12,2,1,1,0.86,0.3,0.2836,157
3,1,8,3,2,1,1,0.7,0.84,0.0,6
1,0,1,5,1,1,1,0.1,0.54,0.2537,3
1,1,2,3,1,1,1,0.12,0.54,0.1045,1
2,1,5,10,4,1,1,0.56,0.52,0.2537,205
2,1,4,1,6,0,1,0.52,0.77,0.2239,88
1,0,3,13,4,1,3,0.42,0.0,0.2239,12
4,1,11,9,0,0,2,0.24,0.48,0.2239,96
3,0,6,22,6,0,1,0.68,0.47,0.194,187
2,1,5,13,6,0,1,0.64,0.36,0.194,659
2,0,5,19,3,1,3,0.56,0.88,0.1343,331
3,1,9,13,6,0,2,0.82,0.52,0.0896,504
3,1,9,17,3,1,1,0.76,0.66,0.2537,863
4,1,11,16,3,1,1,0.36,0.29,0.2537,325
2,0,6,17,5,1,1,0.72,0.25,0.2836,558
4,0,11,19,5,1,1,0.42,0.67,0.0,134
3,1,7,19,3,0,1,0.86,0.47,0.2239,432
4,0,9,22,5,1,1,0.52,0.55,0.3284,159
2,0,4,4,3,1,1,0.56,0.94,0.2239,6
2,1,3,17,4,1,1,0.66,0.65,0.1642,810
4,1,11,14,5,1,1,0.42,0.35,0.1045,251
4,0,12,6,4,1,1,0.32,0.66,0.194,92
4,1,11,11,1,0,1,0.52,0.72,0.1642,367
4,0,10,7,3,1,3,0.52,0.77,0.2537,68
4,1,11,19,2,1,1,0.26,0.73,0.2985,350
