iter	Passed	Remaining
0	155	155656
1	167	83731
2	178	59273
3	190	47422
4	201	40038
5	211	35094
6	222	31544
7	233	28929
8	243	26865
9	254	25180
10	265	23909
11	276	22764
12	288	21879
13	299	21059
14	310	20373
15	320	19717
16	331	19185
17	344	18768
18	354	18324
19	365	17917
20	377	17601
21	388	17268
22	400	16997
23	410	16711
24	422	16471
25	433	16230
26	443	15996
27	455	15801
28	465	15596
29	476	15420
30	487	15249
31	499	15116
32	510	14955
33	521	14804
34	532	14687
35	543	14556
36	554	14425
37	564	14296
38	575	14175
39	588	14115
40	598	13994
41	608	13889
42	619	13784
43	631	13714
44	642	13638
45	652	13541
46	664	13464
47	675	13393
48	685	13301
49	696	13226
50	706	13144
51	718	13094
52	729	13028
53	741	12981
54	751	12913
55	761	12831
56	771	12768
57	781	12698
58	792	12643
59	803	12581
60	813	12523
61	823	12461
62	834	12415
63	845	12362
64	856	12318
65	866	12262
66	877	12226
67	888	12177
68	899	12141
69	910	12093
70	921	12054
71	932	12013
72	943	11975
73	953	11931
74	963	11883
75	974	11846
76	984	11796
77	994	11754
78	1004	11709
79	1014	11668
80	1026	11647
81	1037	11611
82	1049	11593
83	1061	11580
84	1074	11571
85	1085	11535
86	1096	11503
87	1105	11460
88	1116	11431
89	1127	11398
90	1137	11364
91	1147	11330
92	1157	11286
93	1167	11256
94	1178	11227
95	1188	11193
96	1198	11158
97	1208	11125
98	1219	11096
99	1229	11061
100	1239	11036
101	1250	11005
102	1260	10974
103	1271	10950
104	1281	10919
105	1291	10891
106	1301	10862
107	1311	10829
108	1321	10800
109	1331	10772
110	1342	10750
111	1353	10729
112	1363	10699
113	1373	10671
114	1384	10657
115	1395	10635
116	1405	10610
117	1416	10589
118	1427	10570
119	1439	10553
120	1449	10529
121	1459	10503
122	1469	10479
123	1479	10454
124	1490	10432
125	1500	10407
126	1509	10379
127	1520	10359
128	1532	10346
129	1542	10324
130	1552	10301
131	1564	10284
132	1574	10262
133	1585	10244
134	1595	10220
135	1605	10197
136	1615	10174
137	1625	10152
138	1636	10134
139	1646	10113
140	1656	10093
141	1668	10079
142	1679	10064
143	1689	10043
144	1700	10028
145	1711	10011
146	1722	9995
147	1732	9975
148	1744	9960
149	1754	9942
150	1765	9927
151	1776	9912
152	1787	9895
153	1799	9883
154	1809	9865
155	1819	9846
156	1830	9827
157	1841	9815
158	1853	9805
159	1864	9786
160	1874	9767
161	1883	9744
162	1893	9725
163	1904	9705
164	1914	9687
165	1924	9669
166	1936	9657
167	1946	9638
168	1956	9622
169	1967	9607
170	1978	9590
171	1988	9571
172	1999	9556
173	2009	9539
174	2019	9522
175	2030	9506
176	2040	9487
177	2051	9473
178	2061	9457
179	2073	9446
180	2083	9428
181	2094	9413
182	2104	9395
183	2114	9376
184	2123	9356
185	2134	9340
186	2144	9321
187	2154	9305
188	2165	9290
189	2174	9271
190	2184	9252
191	2195	9240
192	2206	9226
193	2216	9210
194	2226	9193
195	2237	9177
196	2247	9162
197	2258	9148
